,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
47357,1,2,1,1,11,4,Finland,47456.0,11,1,1,0,0
47358,0,2,1,1,35,35,United States of America,180000.0,21,1,1,0,0
47359,0,3,1,1,35,34,United States of America,85000.0,16,1,1,0,0
47360,0,4,1,1,22,10,United Kingdom of Great Britain and Northern Ireland,165691.0,19,1,1,0,0
47361,0,3,1,1,27,14,United States of America,150000.0,15,0,1,0,0
47362,1,2,1,1,10,1,Peru,21600.0,13,1,1,0,0
47363,1,2,1,1,13,9,Ireland,66652.0,13,1,1,0,0
47364,1,2,1,1,12,7,India,34307.0,2,0,1,0,0
47365,1,2,1,1,12,1,United States of America,68000.0,16,1,1,0,0
47366,1,4,1,1,26,7,United States of America,108000.0,15,0,0,0,1
47367,1,1,0,1,7,2,Argentina,8280.0,13,1,1,0,0
47368,0,2,1,1,15,9,Netherlands,106644.0,24,1,1,0,0
47369,0,1,1,0,19,16,Bulgaria,22908.0,26,1,1,0,0
47370,1,4,1,1,10,2,United States of America,125000.0,5,0,1,0,0
47371,1,2,1,1,13,10,United States of America,107000.0,15,1,1,0,0
47372,1,2,0,1,9,6,Brazil,6228.0,8,0,1,0,0
47373,0,2,1,1,40,30,United States of America,172500.0,3,0,1,0,0
47374,1,3,1,0,3,3,Czech Republic,46764.0,2,0,1,0,0
47375,1,3,1,1,12,8,Netherlands,72684.0,3,0,1,0,0
47376,1,3,1,1,18,13,Sweden,63984.0,22,1,1,0,0
47377,0,2,1,1,11,7,United States of America,86700.0,7,0,1,0,0
47378,1,3,1,1,10,5,United States of America,135000.0,11,1,1,0,0
47379,0,1,1,1,24,22,United States of America,185000.0,22,1,1,0,0
47380,1,3,1,1,13,7,United Kingdom of Great Britain and Northern Ireland,75384.0,17,1,1,0,0
47381,0,2,1,0,14,14,United States of America,134000.0,5,0,1,0,0
47382,1,2,0,1,15,4,Denmark,58500.0,9,1,1,0,0
47383,1,2,1,1,18,7,Germany,65053.0,13,1,1,0,0
47384,0,3,1,1,25,20,Germany,127972.0,16,0,1,0,0
47385,1,2,1,1,10,6,India,9028.0,15,1,1,0,0
47386,1,2,1,1,10,6,United States of America,80000.0,5,0,1,0,0
47387,1,2,1,1,7,4,France,69318.0,13,0,1,0,0
47388,1,2,1,1,4,2,Nigeria,2304.0,9,0,1,0,0
47389,1,2,1,1,14,10,India,18056.0,5,0,1,0,0
47390,1,1,1,1,9,6,Chile,29640.0,10,1,1,0,0
47391,1,2,1,1,8,5,Hungary,31776.0,21,1,1,0,0
47392,1,2,1,1,3,2,United Kingdom of Great Britain and Northern Ireland,62820.0,4,0,1,0,0
47393,1,2,1,1,12,7,United States of America,160000.0,11,0,1,0,0
47394,0,3,1,1,26,14,Poland,33300.0,12,0,1,0,0
47395,1,4,1,1,8,8,United States of America,100000.0,4,0,1,0,0
47396,1,2,1,1,11,5,United States of America,85000.0,9,0,1,0,0
