,>35,EdLevel,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
38379,0,3,1,6,2,54049.0,7,0
34427,0,3,1,26,18,48644.0,8,0
15305,0,2,0,29,24,116917.0,13,0
35804,1,2,1,11,10,123000.0,4,0
28991,1,1,1,4,2,16704.0,16,1
51628,1,2,1,14,10,210000.0,19,1
22091,0,4,1,15,10,61368.0,15,0
44217,1,2,1,9,6,69645.0,17,1
45129,1,2,1,8,3,79983.0,3,0
63111,1,0,1,9,6,83182.0,16,1
50561,0,0,1,17,15,44796.0,14,1
3425,0,2,1,25,15,187426.0,2,0
57100,1,2,1,6,4,13212.0,6,0
41693,1,0,1,18,7,74651.0,16,1
24702,1,2,1,8,2,38976.0,9,1
50963,1,3,1,6,4,53322.0,11,0
5371,0,3,1,30,25,36444.0,12,0
22323,1,2,1,2,0,37834.0,17,1
22311,1,2,1,7,7,16754.0,11,0
35974,1,1,1,13,4,28860.0,10,0
53151,1,2,1,5,5,42463.0,16,1
1696,1,4,1,18,4,80928.0,11,1
53394,1,2,1,12,6,55458.0,24,1
62976,1,3,1,12,10,138756.0,18,0
13380,0,2,1,23,20,54455.0,11,0
56891,1,1,1,16,4,40956.0,13,1
18304,0,1,1,25,13,151263.0,11,0
20509,1,2,1,25,9,66716.0,12,0
30582,0,2,1,23,18,115000.0,30,1
33103,1,0,1,7,3,35028.0,6,0
37830,1,2,1,7,7,13068.0,6,0
4342,1,2,0,4,4,85000.0,2,0
51841,1,2,1,10,5,18576.0,4,0
46040,1,2,1,8,3,20784.0,15,1
45232,1,2,1,7,4,7979.0,10,1
58106,0,2,1,16,13,54840.0,13,1
36227,1,3,1,13,8,5028.0,12,0
3352,0,2,1,31,20,113447.0,7,0
22247,1,3,1,6,3,5028.0,7,0
69515,1,2,1,10,5,12897.0,19,1
61260,1,2,1,5,1,23436.0,16,1
68682,1,2,0,11,6,90647.0,19,1
7140,1,2,1,4,0,8376.0,20,1
23651,0,0,0,35,31,140527.0,16,1
5132,1,1,1,3,0,2508.0,6,0
60740,1,0,1,18,14,70380.0,23,1
56959,1,2,1,4,2,51189.0,19,1
3447,0,2,1,27,12,135000.0,22,1
22799,0,2,0,27,12,1.0,6,0
58701,1,0,1,4,1,1704.0,8,1
38639,0,2,1,12,10,75240.0,18,1
9752,0,1,1,25,13,125000.0,13,1
65005,1,2,1,7,1,7212.0,19,1
46542,0,4,1,45,15,180000.0,5,0
65586,1,2,1,7,2,42657.0,14,1
16968,1,3,1,10,6,75000.0,20,1
4300,1,1,1,5,2,19440.0,22,1
44015,0,2,1,25,21,80868.0,12,1
55547,1,2,1,14,3,34551.0,18,1
13624,1,2,1,11,5,32429.0,18,1
15662,0,3,1,40,30,150000.0,20,1
4618,0,3,1,10,9,60129.0,17,1
41908,1,2,0,6,4,105000.0,7,0
25214,0,3,1,19,10,41885.0,7,1
33640,1,2,1,4,1,6144.0,14,1
59501,1,2,1,5,3,6240.0,14,0
26889,1,1,1,5,3,18708.0,13,0
41279,1,1,1,14,8,113075.0,26,1
53750,1,2,1,11,7,117308.0,11,1
65726,1,3,1,13,8,190000.0,31,1
1647,0,2,1,25,18,109871.0,13,1
54835,0,1,1,25,12,50256.0,7,1
66928,1,3,1,10,7,53748.0,4,0
30953,1,2,1,4,4,201048.0,16,1
65713,1,2,1,4,0,90000.0,12,1
39532,1,1,1,6,4,45396.0,6,0
68606,1,2,1,6,2,41964.0,12,1
55044,1,2,0,7,5,67233.0,10,0
24143,1,3,1,12,6,28800.0,8,0
32681,1,3,1,7,4,72398.0,10,0
20555,0,2,1,13,9,34596.0,8,0
65363,1,2,1,11,11,80000.0,15,1
22174,1,3,1,6,3,6732.0,8,0
62504,0,1,1,18,17,67602.0,14,1
54779,0,1,1,18,10,67186.0,20,1
28462,1,2,1,6,3,27492.0,9,1
48313,1,3,1,2,1,56521.0,23,1
23324,0,1,1,20,16,71093.0,9,1
26517,1,3,1,16,12,165000.0,6,0
21768,1,1,1,6,4,10596.0,17,1
4201,1,2,1,11,6,45396.0,9,0
27973,0,2,1,21,13,77685.0,22,1
16671,0,2,1,20,7,78912.0,7,0
43399,1,3,1,10,5,44790.0,8,0
37162,0,2,0,27,17,140000.0,5,1
63408,1,2,1,15,5,58654.0,14,1
56786,0,2,1,13,10,71451.0,15,0
22390,1,3,1,7,5,45401.0,6,0
52394,1,2,1,10,6,180000.0,13,0
53533,0,2,1,19,11,73051.0,16,0
18142,1,2,1,16,7,45600.0,13,1
52130,1,0,1,6,3,40956.0,19,1
22120,1,2,1,15,10,92492.0,14,0
13884,1,2,1,15,12,18000.0,33,1
64809,0,2,1,18,16,64704.0,23,1
46745,0,4,1,12,8,80000.0,12,0
8481,1,2,1,8,8,41508.0,20,1
49929,1,2,1,7,3,44790.0,20,1
16231,1,2,1,9,5,15216.0,12,1
34547,1,2,1,14,10,10992.0,21,1
42220,1,2,1,7,4,63694.0,9,0
27265,1,3,0,12,7,46533.0,13,0
1418,0,3,1,30,28,105072.0,13,1
53569,1,3,1,14,9,12381.0,10,0
29862,1,2,1,17,17,81074.0,5,0
33337,0,1,1,28,21,100000.0,10,0
37950,1,2,1,6,2,160000.0,1,0
28235,0,3,1,21,20,64630.0,19,1
57572,1,3,1,5,3,31176.0,10,0
24592,0,3,1,8,3,67021.0,13,1
31039,1,2,1,5,2,27336.0,14,1
47025,1,2,1,13,9,150000.0,19,1
4453,1,2,1,5,1,11640.0,25,1
69108,1,3,1,6,6,94644.0,10,0
41091,1,2,1,6,3,43512.0,5,0
38898,1,0,1,10,9,24744.0,26,1
22798,1,2,1,4,2,56723.0,10,0
29241,0,2,1,20,13,45376.0,16,1
63931,1,2,1,4,1,33260.0,30,1
20594,1,1,0,14,0,5664.0,2,0
4363,1,2,0,20,15,125000.0,8,0
40694,1,1,1,15,14,56400.0,16,1
50534,1,2,1,13,10,130000.0,16,1
34038,0,2,1,26,20,97288.0,22,1
18543,1,2,1,9,5,4740.0,13,0
50361,0,3,1,25,16,60000.0,14,1
28036,1,3,1,11,6,37834.0,14,1
55397,1,2,1,8,4,46068.0,8,0
42806,1,2,1,6,5,168600.0,4,0
48278,0,2,0,25,8,130000.0,5,0
34828,1,2,1,5,1,9228.0,25,1
65217,1,2,1,9,7,51192.0,24,1
25184,1,3,1,8,4,45396.0,18,1
2273,1,2,1,15,8,190000.0,15,1
4860,0,2,1,35,15,167024.0,11,0
11692,1,0,1,13,3,28105.0,23,1
