,Age,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman,PCA1,PCA2,MDS1,MDS2
1626,1,2,0,1,16,9,Romania,51183.0,4,0,1,0,0,1.4699735890874661,-9.516934821441922,-0.0871503407379624,9.44344020885183
1627,1,2,1,1,11,8,United States of America,135000.0,12,0,1,0,0,-2.8712396693660365,-1.4121515018137698,3.0873305399249253,0.8214638086112024
1628,1,1,1,1,3,1,Bangladesh,2328.0,5,0,1,0,0,-13.64452120330061,-8.186040753936712,14.917362690082845,5.867846593833131
1629,1,3,1,1,13,7,France,95979.0,12,1,1,0,0,-1.9472370942606334,-1.4407684595997299,2.175253311265917,1.010010079341861
1630,0,2,1,1,16,9,Zambia,14400.0,30,1,1,0,0,2.022937658783188,16.47684431265484,-4.237337214414725,-16.172349510360828
1631,1,2,1,1,9,5,Ukraine,36000.0,22,1,1,0,0,-6.102498359216952,8.654033964433525,4.8786263925704265,-9.544956548404738
1632,0,3,0,1,21,19,Switzerland,101649.0,9,1,1,0,0,11.753248080981715,-4.714965991786777,-11.27869688720721,6.264220311651851
1633,1,4,1,0,12,10,Germany,66119.0,4,0,1,0,0,-1.0091048945307797,-9.449767945478214,2.4474586248632693,9.251299565294692
1634,0,1,1,1,30,11,United Kingdom of Great Britain and Northern Ireland,62045.0,10,1,1,0,0,13.735918854060616,-3.8085771125352075,-13.76813591042495,8.49715296691021
1635,1,2,1,1,6,0,United Kingdom of Great Britain and Northern Ireland,37692.0,15,1,0,1,0,-11.727708660407506,1.763811130729863,11.5385045714541,-3.708129838097504
1636,1,3,1,1,16,6,Italy,85315.0,10,0,1,0,0,-0.2877750279641774,-3.488157793759841,0.6268503041342882,3.661176279157147
1637,1,2,1,1,6,3,India,5194.0,10,1,1,0,0,-9.948588821794035,-3.2651997227092586,10.452279893824045,1.621826354054655
1638,1,2,1,1,7,2,Germany,90804.0,14,1,1,0,0,-9.712226767533929,0.724755114420229,9.569717268772038,-2.2603620781637264
1639,1,3,1,1,10,8,Canada,117126.0,42,1,1,0,0,-3.0095008160203895,28.600010840634223,6.5585253129065215,27.721452977759327
1640,0,0,1,1,23,17,United States of America,200000.0,10,0,1,0,0,12.074290709476282,-3.7335291176491063,-11.521157717123634,5.050949575507448
1641,1,2,1,1,15,11,Portugal,49725.0,23,1,1,0,0,2.355662281187663,9.477769891761119,-3.583506550617373,-9.234939209010921
1642,1,2,1,1,17,12,"Iran, Islamic Republic of...",74100.0,11,0,1,0,0,4.283891819026631,-2.5679841520156077,-3.875144065170967,2.8767807614884098
1643,0,3,1,1,8,6,Belgium,58654.0,14,0,1,0,0,-6.420452798220913,0.6652192102036821,6.371372605120801,-1.7885710671867632
1644,1,2,1,1,20,8,United Kingdom of Great Britain and Northern Ireland,58167.0,27,1,1,0,0,4.440059120208346,13.410492372357083,-6.43713076815283,-13.383110407807525
1645,0,2,1,1,39,39,United States of America,130000.0,2,0,1,0,0,38.17200422373653,-12.261504737748075,-36.97689484844954,17.59754328091672
1646,0,3,0,1,5,4,Germany,33276.0,7,1,1,0,0,-10.159780125455084,-6.25518849689511,11.296241975867064,4.590453408381116
1647,1,3,0,1,9,4,Madagascar,12400.0,32,1,1,0,0,-6.519073991903076,18.661669990691326,3.905322699269533,-19.468605907059604
1648,1,2,1,1,10,7,Switzerland,116896.0,3,0,1,0,0,-4.469759120693284,-10.380711162208158,6.113846544673324,9.50962380250602
1649,0,2,1,1,15,15,United States of America,220000.0,15,0,1,0,0,4.706643661779646,1.4397854369194518,-5.267394788318509,-1.2909646380646151
1650,1,2,1,1,17,7,Russian Federation,76812.0,13,0,1,0,0,1.181947357905323,-0.518225151960661,-1.3061446999394186,0.5832386753665046
1651,1,1,0,1,7,1,Australia,31850.0,14,1,1,0,0,-10.343159319876543,0.7346954811362884,10.255901284385162,-2.4401166197472244
1652,1,3,1,1,5,3,Ukraine,54000.0,14,1,1,0,0,-10.638800326319645,0.7532368158145968,10.592831539869515,-2.4351727009742303
1653,0,2,1,1,22,8,United States of America,95310.0,4,0,1,0,0,5.505313973532036,-9.62258922193926,-4.194308824701208,11.48888558324414
1654,1,2,1,1,3,1,South Africa,21240.0,20,1,1,0,0,-13.324142690181697,6.81044187401323,12.369614460885495,-8.733852376382277
1655,1,2,1,1,5,1,Spain,23462.0,26,1,0,0,1,-11.641913179171674,12.770432513800285,9.832915211411413,-14.373938121565441
1656,1,2,1,1,13,3,Germany,51192.0,8,0,1,0,0,-4.549753391450428,-5.399719273894535,5.216997711581558,5.262348412395778
1657,0,3,1,1,34,26,Poland,54672.0,16,0,1,0,0,26.40608644848611,1.9621206007180811,-26.514764810493592,1.2175913294813694
1658,1,3,1,1,12,3,France,37834.0,10,0,1,0,0,-5.284704314435468,-3.380920142352331,5.67971252254191,2.8180698780894806
1659,0,2,1,1,31,27,United States of America,143484.0,12,1,1,0,0,24.621379224353813,-1.988930222084294,-24.451511395111453,4.908760839338615
1660,1,2,1,1,15,6,Canada,124935.0,9,0,1,0,0,-1.0848770896153646,-4.468553938788315,1.655326559709233,4.428146035359378
1661,1,2,1,1,7,2,United States of America,88000.0,11,0,1,0,0,-9.776269295737233,-2.274539665902979,10.0748416452605,0.6978897074302793
1662,0,3,1,1,28,22,United Kingdom of Great Britain and Northern Ireland,125639.0,14,1,1,0,0,19.187348846409744,0.11868142984519138,-19.123689983128095,2.141738569799134
1663,1,3,1,1,8,2,United States of America,68000.0,9,1,1,0,0,-9.042449436037492,-4.2933983013385,9.643052501451312,2.8811646073713586
1664,1,3,1,1,11,5,France,47990.0,17,1,1,0,0,-4.654411642732771,3.6166461736385873,4.11394766163314,-4.409371046423421
1665,0,2,1,1,18,12,Egypt,26928.0,17,1,1,0,0,5.187316905659104,3.411214819374524,-5.5575450955626575,-2.8217182511422956
1666,0,2,1,1,32,15,Germany,76783.0,25,1,1,0,0,18.126149544866607,11.10912307423546,-19.969121146900154,-9.925531601618154
1667,1,2,1,1,7,5,France,31992.0,18,1,1,0,0,-7.74215679210854,4.693566657823409,7.124312641934507,-5.941178180667789
1668,0,2,1,1,14,14,India,46074.0,13,1,1,0,0,3.2520515087591693,-0.5307093616253057,-3.5075541624945528,0.6438776293763057
1669,1,2,1,1,4,2,Brazil,7476.0,10,0,1,0,0,-12.131704319924959,-3.2165572424895443,12.654351530293223,1.2350496376675912
1670,1,3,1,1,5,3,India,14187.0,4,0,1,0,0,-10.853308436430867,-9.24446679767703,12.358575091524154,7.36337901895129
1671,0,3,0,1,17,11,Portugal,45396.0,16,1,1,0,0,3.76056403680323,2.4408264721483617,-4.0105796888943885,-2.053730888767206
1672,1,1,1,1,10,6,Italy,16215.0,11,0,1,0,0,-4.931579959686636,-2.372739151828725,5.287828392967291,1.470606623693835
1673,0,2,1,1,8,5,Switzerland,96360.0,9,1,1,0,0,-7.1546870077402,-4.323484298877566,7.84067703595141,3.0627222869716566
